"","MEpink","MEyellow","MEbrown","MEblue","MEred","MEmagenta","MEblack","MEturquoise","MEtan","MEgreen","MEsalmon","MEgreenyellow","MEcyan","MEpurple"
"X6_F_liv_standard",-0.129141016594482,-0.122551881860325,0.157811767004857,0.128955581202557,0.15258390653352,-0.186473051250954,-0.0841261126274974,-0.156823084784403,-0.369959816726692,-0.089832475287122,-0.169214749275182,-0.0582557071526598,0.250674138729014,0.0131770229918756
"X31_F_liv_standard",-0.0614456022553916,-0.103736323891373,-0.103470121383708,0.16755698093479,0.13039934169076,0.111121017691513,0.100910257981895,0.083684459901471,-0.0261189957548126,-0.00768737751790351,-0.183739807506593,-0.13691774129898,-0.0727521795231662,-0.18966531224968
"X51_F_liv_standard",0.160792555971617,0.379659989439026,-0.028586708768726,0.236149273166056,0.229242268026074,0.0393981749877229,-0.0441794145013406,-0.0283448001691423,-0.0671380658878403,-0.140098648409566,-0.192716539541267,0.0409173404399309,-0.0210639294811406,0.00780097102392849
"X1006_F_liv_standard",0.103761044898276,0.280121264412163,0.322428474785476,0.187076892123159,0.197040114471628,-0.0316141485251391,-0.0837374679072051,-0.135470577276528,-0.0398976337270455,-0.144825695207329,-0.191158173174787,-0.0536780183828207,0.0615979140052913,-0.167561518799134
"X2_F_liv_standard",0.00940375632618049,0.155233847557475,-0.124301634490511,0.110224421911321,0.0901069065285175,-0.0613960032369581,0.124349369245794,0.0755944861230501,0.0529376501091977,-0.105608470645733,-0.0655868739914805,0.0288234649598166,0.0352585862486633,0.0575561323055014
"X10_M_liv_standard",-0.00033123872533276,0.181163571205597,-0.0288292953723505,-0.0147241849782545,-0.0623025776380384,-0.171944827942282,-0.154990956468218,-0.0141034454647959,0.135940685175298,0.170623226467979,0.0642429641936592,0.272020802862248,0.154209817317329,0.261323102184796
"X52_M_liv_standard",0.160895166487553,0.111311265377989,0.0841235601882642,0.122773733004631,0.17060483289052,-0.149210109573451,-0.00681345583389262,0.0199581466547019,-0.0655315546554315,-0.476755589581945,-0.212980933696302,0.11519495580003,0.058206020662501,-0.0857705134941357
"X34_M_liv_standard",-0.124718645718631,0.202439150000258,-0.0184423827351627,0.122968726016538,0.0797969303311816,-0.0145374843566863,-0.195432787315811,-0.187224427062587,-0.0839102944488476,-0.154317956771634,-0.0936162782859593,0.0394659538096671,0.0887380635049184,0.116374590259432
"X1046_M_liv_standard",0.120039098025383,0.179393070656555,0.106724301531448,0.104605812948349,0.111298426695653,-0.153464233481522,-0.13749922103663,-0.0275490772598212,-0.0324639492418818,-0.126621176545047,-0.140268452498412,0.12661707561609,0.205164768853772,0.155768012210493
"X1100_M_liv_standard",-0.0805922987773159,0.209010672722825,-0.191476437220438,-0.0411816578470357,-0.085524998751952,0.042685438066539,0.0611308463953797,0.0564152157516376,0.232123199731126,0.0837471966896674,0.0806392282774525,0.219140250092256,-0.0305800305558389,0.0286732774647462
