"","MEbrown","MEgreen","MEsalmon","MEred","MElightcyan","MEtan","MEyellow","MEpurple","MEpink","MEmidnightblue","MEturquoise","MEmagenta","MEcyan","MEgreenyellow","MEblack","MEblue"
"X1045_M_kid_lowfat",-0.149820205190116,0.192424776481527,0.177894027903327,-0.110955615926341,-0.296665273852261,-0.0838490357947243,0.148538360438003,0.102216158214829,0.259942624709063,0.332296213938391,0.131199396136263,0.0420895975480405,-0.0470952095020906,-0.0460959985317015,-0.149351157448931,-0.214441597942183
"X1065_M_kid_lowfat",-0.281326054209176,0.0301960702981629,-0.0349096946531007,-0.131357996371892,-0.306048875350167,-0.257005670954952,0.357976399294453,0.151279589211273,0.179617175450096,0.336922362943706,0.270353191948058,0.0387389490332093,-0.0273994970175859,0.0181111324528228,0.110559162648401,-0.0136449066668764
"X66_F_kid_standard",-0.118549859109637,-0.20818347163781,-0.142658480536543,-0.0960943705012679,0.183733907207654,-0.0252205886263142,-0.139408191344992,-0.00336625704812498,-0.0402056833635694,-0.18811500080687,0.00330910441605271,0.114079922369316,0.0587794629434083,0.218407154621206,0.242570137972781,0.22771813719846
"X67_F_kid_standard",0.141316402247137,0.070170641380147,-0.0914884828818656,-0.230636243576611,0.0154659705766325,0.0633202060289861,-0.0078691359355039,0.0602836663840551,-0.133328541408036,-0.00226079217851111,-0.0193197276976161,0.367077254583841,0.0345888672835547,-0.0953824553695932,-0.112671116958958,-0.0788795677982606
"X62_F_kid_standard",0.151329934073846,0.151547215410346,-0.0360090897595554,-0.225542787323233,-0.010214214472643,0.11188806106395,0.0177487952303325,0.0584179468809702,-0.118366598407264,-0.00391149575982869,-0.0831984952328877,0.243707345055261,0.15108322666027,-0.0424209789482286,-0.171352617440523,-0.0729416347383706
"X57_F_kid_standard",-0.0515756458461501,-0.0524609306433772,-0.0534835770527008,-0.196045723320667,0.166924492475493,0.107265871052229,-0.172276976063486,-0.113973153499766,-0.067489815204423,-0.167243022777306,-0.187949815600239,0.191129689314109,0.148679567924689,-0.115077939792476,0.0286444549883425,0.125815169340375
"X33_F_kid_standard",-0.274112888348568,-0.00430915715024631,-0.154853694282725,-0.20597656991271,0.0175919703495572,-0.0118857411519552,0.0241816873418728,0.156713338932607,-0.0279482414582639,0.00770896705757054,0.0910239524902803,0.336339188047201,0.0685679571323214,0.516332316321461,0.0624381213842145,0.0265390432635423
"X6_F_kid_standard",0.0430282039962204,-0.43503246202786,-0.219892748283877,-0.144888882740895,0.138056483868324,-0.172005428531437,-0.0453451877125878,-0.0949742364487653,-0.0474586249744024,-0.213808341233426,0.135762974081071,0.143593467684617,-0.00950912688092622,0.412657602494811,0.348422406393954,0.311377156368885
"X31_F_kid_standard",-0.0977609570332013,-0.0231095517838539,-0.103312523342464,-0.215032271352549,0.0938968704500703,0.0535985695855315,0.0233251891621791,0.000778201037177722,-0.061298814945573,-0.0559506088830809,-0.0134436759043601,0.277656132824627,0.0752563407323545,0.0945682086162677,0.0433334668745184,-0.0316256433185839
"X51_F_kid_standard",0.319036636717417,0.0448331602098525,0.00287435427072237,0.351729488199449,0.0674179174331739,0.116794391445814,-0.0401227589698789,-0.647130159120396,0.0653915995271366,-0.125650145663567,-0.34417973854397,-0.29563763627506,-0.221304088140327,0.036376980842365,-0.205020879991435,-0.182716891068475
