"","MEbrown","MEmagenta","MEturquoise","MEmidnightblue","MEsalmon","MEblue","MEpink","MEblack","MEgreen","MEgreenyellow","MEpurple","MEyellow","MEcyan","MEred","MEtan"
"X51_F_gi_standard",0.132039825529026,0.109718995595906,0.244118286471145,0.189584339221244,0.057264461315229,-0.150482591505809,-0.00559025668970298,0.0232741696301177,0.0314487607511522,0.0224837429453215,-0.122019279103718,-0.0750015350451499,-0.159759274707206,-0.0287875690042812,0.0168560355361397
"X1006_F_gi_standard",0.227322053314394,0.129817535199842,0.17431194289029,0.216779961623731,0.0550595223750625,-0.148730939470875,-0.0984183522695725,0.0792411361413222,0.106810012602671,-0.0830653596259785,-0.314148671028995,-0.251381616113435,-0.251647193710908,-0.236911856991398,-0.10460963346045
"X2_F_gi_standard",0.000818122221417597,0.0536712710203473,0.274953227709882,0.193692867516666,0.154706100897356,-0.15750090335968,-0.11421425039317,-0.0415821967119832,-0.0642454434154119,0.0166148328723424,-0.138899678281631,-0.0601263763091455,-0.013652013785031,0.0940116111309628,0.0744472276327127
"X10_M_gi_standard",-0.243159846682344,0.0769480210159328,0.447200702311789,0.171573378787723,0.259162187837016,-0.261030558275404,-0.62965601885662,-0.618635349827162,-0.785246317018593,-0.0191106058749226,-0.227354060920784,-0.0151735965998095,0.19329457255975,0.131922885753526,0.0914056730125931
"X52_M_gi_standard",0.0896857391840825,0.0425258750513242,0.0682076525431851,0.183932396338568,0.150295813608478,-0.155790743397536,0.010552941358707,0.0731622110939075,0.0209504899895107,0.00190022236835279,-0.050732407724896,-0.0629985096681854,-0.0698045647059029,0.309799008134632,-0.0934772742728154
"X34_M_gi_standard",-0.268441538740887,-0.0137018819261773,0.335011111494194,0.17261474341256,0.320777043064582,-0.207197395962859,-0.216091252068746,-0.264864682280219,-0.284678917098006,-0.0394727521875935,-0.0723472960494644,-0.0984122735106035,0.283723785515155,0.145953564317635,0.0222976444424899
"X1100_M_gi_standard",-0.165714326227582,0.178546842651569,0.330718068029495,0.16466896645499,0.304718421398704,-0.236440296929262,-0.301568998482492,-0.531623523773548,-0.300285089953979,0.162205909446976,-0.155001770297245,0.0876619204890262,0.223635294703332,0.17429699420608,0.290692810827441
"X22_M_gi_standard",0.0792482849877202,0.114593103334197,0.101644609677423,0.151746985478862,0.0549966933232724,-0.182133842651726,0.102843283923629,-0.00657071355538969,-0.00231573978103223,0.217634273024065,0.0715724484468915,0.047338086903616,-0.11245995583333,0.0971199545821516,0.062900303561049
"X25_M_gi_standard",0.0597774881076005,0.153875155963046,0.0919414615976389,0.134559961042055,-0.0198758227036438,-0.192269645067909,0.206129394428844,-0.0358952645232308,0.00936081045827757,0.399019317276873,0.193594949914543,0.171438281785694,-0.106514589086896,-0.0219413750002412,0.0718548236778907
"X80_M_gi_standard",0.150262614873283,0.200104350879025,0.0738661706795759,0.150878424402687,-0.0891551788209888,-0.199009999378638,0.202853740864801,-0.0100159038796631,0.0668387508246244,0.384778899985232,0.111262857434827,0.101738542960244,-0.235194566274346,-0.0819860175146768,0.0194998270847783
"X53_M_gi_standard",0.0437642982797584,-0.0364936322743772,-0.150396047543217,0.21225927900512,0.283112469994688,-0.132346467466684,-0.0585046172770879,0.137450372536837,-0.020752082700891,-0.118255928916235,-0.094873134190683,-0.282140684549718,0.0283640413184201,0.166003869589599,-0.253766007944007
