"","MEgreenyellow","MEbrown","MEturquoise","MEcyan","MEgreen","MEpink","MEpurple","MEred","MEblue","MEyellow","MEmagenta","MEsalmon","MEtan","MEblack","MEmidnightblue"
"X1069_M_hyp_lowfat",0.378050825450919,0.487877125592162,0.133140594537771,-0.113957804773899,-0.40687731188899,-0.285489683881752,-0.429350485592737,-0.0831913791259296,-0.0678865279966751,-0.197458822109127,-0.0786189415677474,-0.000552667232009861,-0.0970987067775442,-0.185501285440665,0.105871432893508
"X1067_M_hyp_lowfat",-0.253208769892953,-0.0702568849707744,-0.195251392270456,0.179031445386582,0.132563473875505,-0.281066345722109,-0.0664089573295218,-0.143920445515042,-0.223695427425119,-0.132725108913212,0.349782504485334,-0.093435934458238,-0.02961264116067,0.0280806175777323,0.275357159536447
"X1052_M_hyp_lowfat",0.0285893339625188,-0.0734002485496253,-0.0342679566940753,-0.048583097337079,-0.0338471001424,0.0387103065447407,0.0632712972613791,0.05403261685117,0.117556756298089,0.175078303436021,0.50911650014806,-0.0249603573873019,-0.0387016773119727,0.0859401182896134,-0.0158132765251583
"X5_M_hyp_lowfat",-0.220285184636585,-0.0359997586261597,-0.178248868646494,0.184732556162403,0.124236580743599,-0.292947093194143,-0.0895341404361523,-0.0907894050352585,-0.209285434137829,-0.146497519033569,-0.053713098248525,-0.111477973294356,-0.147062346897955,-0.0217324888873747,0.287986883192524
"X1054_M_hyp_lowfat",-0.00777387165207226,-0.082026013160138,-0.237928044252642,-0.164237258078087,-0.104719313708109,-0.235418976208197,0.0466025701604694,0.315256953214452,0.0701505146866358,0.330980034619335,0.164102344066034,0.342678145604306,-0.174598201406811,0.0894580347236696,0.251076654611896
"X1045_M_hyp_lowfat",-0.17897335018206,0.0114401532815009,-0.0630931471453329,0.179799006870405,0.10572355797084,-0.196210657959213,-0.0707098077191056,-0.133754410680193,-0.222320196966515,-0.125417703619496,0.000402507371357214,0.417568497678443,-0.0331036518394389,-0.0471757991103745,0.123647989549435
"X1065_M_hyp_lowfat",0.0737694073651808,-0.0903651982364749,-0.24080222992541,-0.219053456313576,-0.156689571878316,-0.203369811485638,0.0300318492122614,-0.119121312344836,0.202887134729744,0.217854691379805,0.0834925991228262,0.709673160537218,0.0998751441121355,0.288505066769255,0.295459613139126
"X1064_M_hyp_lowfat",0.0331703232978692,-0.120166742266962,-0.223423388592883,-0.178782679334424,-0.0876858895972668,-0.0981801631165884,0.055771085333595,-0.0417251825783052,0.166844053859774,0.288120073234303,0.00224133955647177,-0.0419486755484846,0.0572997300850287,0.139767747338052,0.217787384554808
"X66_F_hyp_standard",0.0927318186791119,-0.0323782560192653,0.120188913286303,-0.0989065001196643,0.0118590373500016,0.264453505639503,0.12402801084999,0.0200184171062375,0.118515901341245,-0.0204319348795187,-0.0939920965492528,-0.0718534622847446,-0.111258547053136,-0.0777303457592617,-0.200965316246924
"X67_F_hyp_standard",-0.188405311901616,0.0152396929444358,0.110250972619388,0.279176273674107,0.18763746294499,0.02139022328367,-0.0416948292637455,-0.0589318886904426,-0.226158425430353,-0.155503949655031,-0.0987210650380092,-0.111156574599196,-0.147192698401462,-0.111455812386725,-0.0606416663503598
"X57_F_hyp_standard",0.0775146687233456,-0.107893835265986,-0.0659252804006749,-0.136882414077804,-0.025509566876802,0.146399007606976,0.10927540340232,-0.0282976108428048,0.17353651692847,0.301839248043534,-0.0655320463624652,-0.0657750758129462,-0.0182801770000922,0.0790730911758613,0.00304491833185863
"X33_F_hyp_standard",0.0591628881156039,-0.0559649133289,-0.0635994097745022,-0.110062327775768,-0.0363499288783335,0.0391603153907989,0.0959168998104961,-0.123224319977628,0.110853418264252,0.00715073546540429,-0.0406354641271811,-0.0518522277539646,0.00726515181897637,0.0213513230869628,0.0495723726135662
"X6_F_hyp_standard",-0.201258311342609,0.0316303463002355,0.0940122512048367,0.261310031915554,0.128545355752955,-0.0506550419028746,-0.0764522723477756,-0.0447085653713037,-0.238604580962854,-0.150189307388019,-0.0715572399226166,-0.0752713305010446,-0.0194180246269812,-0.136646489734925,-0.00767435592010279
"X51_F_hyp_standard",0.00719498156943708,-0.0819431822347497,0.0205707185206666,-0.116961488065617,-0.0205261674681454,0.134095067213657,0.159998513654116,0.189737913676347,0.128772433495213,0.0852013948818404,0.0898189339794684,0.0215292795308144,0.17902916055508,0.0370600207937813,-0.107747146730922
"X97_F_hyp_standard",0.00767317954456795,-0.0459143614449114,0.0539768592339537,-0.0764135283403002,-0.0273615722761198,0.0565075055363349,0.135679889484886,0.375746041489401,0.0918601064940803,0.0119880806166557,-0.078626582015536,-0.0176099059931317,-0.202301004329939,-0.000496677418042558,-0.10937126321746
"X1006_F_hyp_standard",-0.125893330045876,0.0239454327845948,0.110037788206588,0.187112210784181,0.204648541869886,0.0650228428906667,-0.0153617422187461,-0.168357680602246,-0.17712893223176,-0.130436807550218,-0.120331216417492,-0.11392511715328,0.0932098490293082,-0.129617027895138,-0.127919535618093
"X2_F_hyp_standard",-0.109313441324802,0.00454813773823519,0.129031807570239,0.14427952335523,0.205484573284234,0.130397771242025,0.0171776948355013,-0.0224186259871127,-0.134087676692206,-0.102519744502479,-0.115370351553476,-0.10108490490959,0.0569218216535885,-0.101461421202557,-0.179373350319752
"X10_M_hyp_standard",0.076619934927731,-0.0797687518191196,-0.0330936461481863,-0.154125296216924,-0.0380301870627542,0.131369983784854,0.131545607164437,0.111256992579572,0.168420481414141,-0.0264007079121536,0.0755587558444403,-0.0258850254788031,0.025364586673791,0.0439172160778302,-0.0269457482221095
"X52_M_hyp_standard",-0.0350367780913634,-0.0756854463098168,0.0217230907375896,-0.0102064576907713,0.0485784623617609,0.127740745812361,0.140329150107723,-0.0366394642587081,0.067178155201613,-0.0286412985342431,-0.0320756274452715,-0.0523787757936066,0.0892257391609558,0.0110486646107189,-0.108508794739803
"X34_M_hyp_standard",-0.121228412899985,-0.0698188951515941,-0.121398353996397,0.0713188848915219,0.103076831617664,-0.125635019216506,-0.0598179389016952,0.0573908268179795,-0.0784728909169516,-0.094522140049882,0.537200002938075,-0.0317553247168035,0.0327006410337713,0.11651401141521,0.140182663217835
"X1046_M_hyp_standard",0.0782700459470211,-0.0649599188031257,0.0343220762412101,-0.128050649198625,-0.0180403613294815,0.203139867251062,0.120404785791307,0.00280993320063028,0.154617778148347,-0.0184020277748435,-0.0917472550664249,-0.0357396386135586,0.187830179701976,0.019483214340227,-0.123825777498256
"X1100_M_hyp_standard",0.0664207203893025,-0.114396702669967,-0.121307728040228,-0.190212481703722,-0.076846356249373,0.0496582657249584,0.145003187731546,0.161493040745071,0.228874658723661,-0.0135653883789075,-0.0676608217258604,-0.0493619162026758,-0.0633552855420949,0.145066811441087,0.122759224622698
"X22_M_hyp_standard",0.0334891670801507,-0.093317947810009,-0.0526475590278711,-0.117784022432404,-0.0193313916859625,0.0723763450654304,0.170283130759724,0.101069562265543,0.141287294672429,0.355502458382428,-0.0405560192662628,-0.060721647439139,-0.0984225712972018,0.0591700694517292,0.0273527984332817
"X25_M_hyp_standard",-0.147362719173454,0.0260140923294548,0.139941503907717,0.227005295586651,0.102411882945461,0.0185082285758363,-0.0301296292220332,0.217228779994585,-0.170363968073642,-0.147159325834851,0.109589938989829,0.0107052634342705,-0.0922976618986951,-0.0501602478742682,-0.141275630441891
"X80_M_hyp_standard",0.0559752140285815,-0.0757682782131476,-0.0285994609721397,-0.152655993661525,-0.0621491119296621,0.0716515692845785,0.134564928894094,0.0981210933895128,0.195541160050665,0.038792221483506,-0.0622174264277545,-0.00957199428795015,0.259856306282616,0.110082730728929,-0.0590120064968563
"X53_M_hyp_standard",-0.0632778258547288,-0.0324604253543924,0.0262124942911432,0.116452338574287,0.0724322875566152,-0.0220683245302161,-0.0256893119191351,0.266319934266578,-0.0613878422001414,0.2883920140143,-0.0787972283744006,0.00688652346375845,-0.149372039089994,-0.00878328866416953,-0.0879915616517781
"X1047_M_hyp_standard",-0.0281203442663896,-0.0303583086349639,0.0259099695737885,0.0264547990667909,0.0128702950364215,-0.0376871450810965,0.0786570462684896,0.437607279719153,-0.0164332212723644,0.170795445959835,-0.0732163908244117,0.001255161108608,-0.272168856520601,-0.0166255504153165,-0.094452964004934
"X23_M_hyp_standard",-0.0135279548072509,-0.0625229578373336,0.00183299164621127,0.0146237394958293,0.0104229770048666,0.0687532923341395,0.0394394289433929,-0.091440858118331,0.0431668763819806,0.110458791980685,0.285855146019279,-0.0265802895858347,0.0324099284048656,0.00499948025715573,-0.0900830979312154
"X1048_M_hyp_standard",-0.0549037116445138,-0.00374264042106145,0.0642471333724646,0.111133548776407,0.0695229122401162,0.0217624319599786,-0.0199874230314756,-0.0228647860027933,-0.0630877453079984,0.115612366885537,-0.0520901328040975,-0.0498981795763683,0.0524464985881478,-0.0408946504837614,-0.127379449431823
