"CCA1"	"CCA2"
"BRINP3"	0.327209953118474	0.106989931411339
"BRSK1"	0.45885956812721	0.0987001129844424
"BRSK2"	0.45349234410291	0.130391470249365
"BTBD17"	0.312896315198061	0.122277542938961
"C1QL1"	0.321945573118297	0.0613002253552218
"C1QL2"	0.370836524202188	0.123971789289243
"C1QL3"	0.315128796398143	0.11188667322962
"C1QTNF4"	0.34557944506376	0.156492093803954
"CA10"	0.410928114275124	0.132090425224188
"CA11"	0.303546993021113	0.0650817419353074
"CABP7"	0.430909983339961	0.130298415069203
"CACNA1A"	0.316501635707071	0.00752811493037504
"CACNA1B"	0.408689152334414	0.0377878531565568
"CACNA1E"	0.325714460275039	0.0758773412842572
"CACNA1G"	0.309695235842298	-0.0288216907267377
"CACNA2D1"	0.268498913738603	-0.0466444164033287
"CACNA2D2"	0.337682724406489	0.119633528514155
"CACNA2D3"	0.362781330805911	0.104154624338732
"CACNB1"	0.283147732567372	0.0217295874369985
"CACNB4"	0.339042613235557	0.0186449094767253
"CACNG2"	0.388168810009497	0.126333827266608
"CACNG3"	0.39835279206057	0.131527413959178
"CACNG7"	0.484282018139685	0.0773714261318315
"CACNG8"	0.474568427597231	0.153863842567936
"CADM2"	0.351944032336653	0.110493952486653
"CADM3"	0.444323492987495	0.0266788455131038
"CADPS"	0.451962694113667	0.0455004917911469
"CALB2"	0.382436761011655	0.054835111339601
"CALN1"	0.327914402564627	0.112756102397759
"CALY"	0.467594113755114	0.141277720516124
"CAMK1G"	0.386241164393667	0.015046137023544
"CAMK2A"	0.511353271538465	0.113967586745499
"CAMK2B"	0.442069053349376	-0.0181456213109182
"CAMK2N2"	0.293432025265091	0.109679228750914
"CAMK4"	0.351989300396433	0.0398992656481564
"CAMKK1"	0.288562625492654	0.00556382704587447
"CAMKV"	0.48207661133006	0.149692908044125
"CAMTA1"	0.369225624942939	0.0356350181559056
"CAP2"	0.263225490858084	-0.00355011246386863
"CARMIL2"	0.30335981135024	-0.0215424579527043
"CARMIL3"	0.32651855934345	0.104313582634042
"CASKIN1"	0.378509253082809	0.10248997378776
"CBARP"	0.426903109720234	0.0723348434781655
"CBLN1"	0.293499511791121	0.117675206726774
"CBLN2"	0.316191546453028	0.0762449263125692
"CBLN4"	0.292627254549147	0.0989082908444801
"CCDC136"	0.368200673374772	-0.0178926127943232
"CCDC177"	0.28497076312747	0.0119058866184971
"CCKBR"	0.264692659835539	0.0233289528336818
"CCSAP"	0.285297965719546	0.0158748653692809
"CDH10"	0.270305611459358	0.0920502941210469
"CDH18"	0.39439598937007	0.103651868470905
"CDH20"	0.372705314414582	0.112500340468182
"CDH22"	0.351907452372646	0.119378585878696
"CDH7"	0.284161226260792	0.0696083001706953
"CDH8"	0.448298601227943	0.141908414034405
"CDH9"	0.280911817743646	0.122565847701987
"CDK5R1"	0.382411634351401	0.0824915536054049
"CDK5R2"	0.496575268717097	0.121136564070796
"CELF3"	0.424663355563054	0.0272339843581372
"CELF4"	0.556461516943794	0.110214429235539
"CELF5"	0.339709222346211	0.11367543364754
"CELF6"	0.299720822399666	0.0228420535139619
"CELSR3"	0.326789509258502	0.0586701434152162
"CEND1"	0.512350798230047	0.12090951252182
"CERS1"	0.444193041052851	0.133254138535818
"CFAP46"	0.293178142326944	-0.0748263309334954
"CHD5"	0.345829210723279	0.0343870772561334
"CHGA"	0.399536246229096	-0.0985255344171691
"CHGB"	0.379274513081549	-0.133735356100723
"CHL1"	0.400128067217608	-0.0489911970176669
"CHN1"	0.355966533358117	-0.0285043793638831
"CHRM1"	0.27870654917186	-0.0594184118538373
"CHRNB2"	0.420392767184362	0.119080224520783
"CHST1"	0.294798717105079	0.0926889275905154
"CHST10"	0.318993721733553	0.0637644430000814
